,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma[10],4.231,3.374,1.182,7.394,0.05,0.035,6801.0,4685.0,1.0
sigma[11],4.125,2.917,1.138,7.343,0.04,0.028,6876.0,5073.0,1.0
sigma[12],4.388,8.015,1.07,7.418,0.195,0.138,6053.0,4566.0,1.0
sigma[13],4.208,2.834,1.114,7.455,0.042,0.031,5751.0,4966.0,1.0
sigma[14],2.228,1.599,0.555,3.865,0.024,0.019,9208.0,4566.0,1.0
sigma[15],2.182,1.418,0.579,3.8,0.021,0.016,7759.0,4590.0,1.0
sigma[16],2.318,1.803,0.551,4.15,0.025,0.019,9178.0,4641.0,1.0
sigma[17],2.283,1.774,0.548,4.081,0.025,0.018,8738.0,5038.0,1.0
sigma[18],2.257,2.119,0.585,3.91,0.032,0.025,10544.0,5030.0,1.0
sigma[19],2.264,1.803,0.569,3.962,0.024,0.017,8760.0,5386.0,1.0
sigma[20],2.241,1.703,0.608,4.014,0.023,0.016,8081.0,5728.0,1.0
sigma[21],2.247,1.638,0.627,3.935,0.024,0.017,8129.0,5138.0,1.0
sigma[22],2.272,1.706,0.558,4.019,0.023,0.016,8770.0,5367.0,1.0
theta[0],6.252,1.094,4.513,7.877,0.014,0.01,7091.0,5230.0,1.0
theta[1],6.737,1.271,4.599,8.545,0.018,0.014,6479.0,3685.0,1.0
theta[2],6.345,1.028,4.761,7.967,0.012,0.008,8255.0,5606.0,1.0
theta[3],6.251,1.067,4.56,7.812,0.013,0.009,7288.0,5704.0,1.0
theta[4],6.192,1.073,4.416,7.742,0.015,0.011,5506.0,4937.0,1.0
theta[5],6.175,1.111,4.387,7.784,0.015,0.01,6278.0,5492.0,1.0
theta[6],6.773,1.21,4.8,8.674,0.015,0.012,6764.0,4238.0,1.0
theta[7],6.485,0.933,4.934,7.874,0.011,0.008,7899.0,5396.0,1.0
theta[8],6.505,0.921,5.043,7.896,0.011,0.008,7941.0,5157.0,1.0
theta[9],6.487,0.922,5.078,7.885,0.01,0.007,8923.0,5982.0,1.0
theta[10],6.8,1.253,4.829,8.866,0.017,0.013,5951.0,4265.0,1.0
theta[11],6.799,1.217,4.903,8.873,0.017,0.013,5768.0,3965.0,1.0
theta[12],6.833,1.277,4.83,8.947,0.018,0.014,5984.0,3252.0,1.0
theta[13],6.801,1.256,4.796,8.826,0.018,0.014,5544.0,3289.0,1.0
theta[14],6.599,0.948,5.056,8.042,0.01,0.007,8538.0,5861.0,1.0
theta[15],6.605,0.929,5.125,8.036,0.011,0.008,7790.0,4284.0,1.0
theta[16],6.641,0.935,5.223,8.231,0.01,0.007,8719.0,5881.0,1.0
theta[17],6.619,0.955,5.038,8.061,0.011,0.008,8331.0,6193.0,1.0
theta[18],6.584,0.948,5.063,8.076,0.01,0.007,9090.0,5765.0,1.0
theta[19],6.598,0.957,5.043,8.013,0.011,0.008,8065.0,5308.0,1.0
theta[20],6.599,0.959,5.089,8.04,0.01,0.007,9413.0,6212.0,1.0
theta[21],6.602,0.953,5.136,8.168,0.011,0.008,8180.0,5643.0,1.0
theta[22],6.612,0.969,5.139,8.22,0.011,0.008,8417.0,5974.0,1.0
